Impact ID,Gauge,RLOI_ID,Value,Units,"Gaugelocation (Longtitude, Latitude)","Location (Longtitude, Latitude)",ThresholdComment,Short Name,Description,Type,ObsFloodYear,ObsFloodMonth,Source
221,River Wharfe at Addingham,8001,2.44,mALD,,"-1.874491,53.943837","31 Oct 2000 - Flooding of properties on North Street, near miss at church Street
6 properties flooded. Cause of flooding - Unable to drain due to high water levels in
IDB watercourse and ultimately high River Wharfe level.",Property flooding at North Street,"Property flooding at North Street, Addingham",Property Impact,2000,October,EMERGENCY RESPONSE PROCEDURES MANUAL
222,River Wharfe at Addingham,8001,2.46,mALD,,"-1.873316,53.942858","Town Beck, Flooding occurred at 6.30am, but warning was not issued until 9.15am
2 properties flooded. Source of flooding was main river and cause of flooding was
because there were no defences.
6 properties flooded",Property flooding Addingham,Property flooding at Addingham,Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
223,River Wharfe at Addingham,8001,2.5,mALD,"-1.862096,53.939721",,23 Feb 1991 - Estimated to be 1 in 15 to 1 in 25 year return period,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,1991,February,EMERGENCY RESPONSE PROCEDURES MANUAL
224,River Wharfe at Addingham,8001,2.5,mALD,,"-1.868961,53.942563",Properties in Low Mill Village begin to flood at this level.,Property flooding Low Mill Village,"Property flooding at Low Mill Village, Addingham",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
1038,River Dearne at Adwick,8002,2.13,mALD,"-1.282162,53.512513",,Peak level - 07 July 2012,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2012,July,EMERGENCY RESPONSE PROCEDURES MANUAL
1039,River Dearne at Adwick,8002,2.23,mALD,"-1.282162,53.512513",,Peak Level - 16 June 2007,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2007,June,EMERGENCY RESPONSE PROCEDURES MANUAL
1040,River Dearne at Adwick,8002,2.77,mALD,"-1.282162,53.512513",,Peak Level - 26 June 2007,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2007,June,EMERGENCY RESPONSE PROCEDURES MANUAL
1041,River Dearne at Adwick,8002,2.82,mALD,,"-1.276586,53.515481",Onset of flooding at Harlington,Flooding at Harlington,"Flooding at Harlington, Doncaster",Location Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
1042,River Dearne at Adwick,8002,2.49,mALD,,"-1.276586,53.515481","Harlington Properties in this area begin to flood when the gauge records a
level above 2.49.",Property flooding Harlington,"Property flooding at Harlington, Doncaster",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
447,River Aire at Airmyn,8003,5,mALD,"-0.908963,53.71643",,Peak Level - 17 October 2012,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2012,October,EMERGENCY RESPONSE PROCEDURES MANUAL
448,River Aire at Airmyn,8003,5.03,mALD,"-0.908963,53.71643",,Peak Level - 13 November 2015,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2015,November,EMERGENCY RESPONSE PROCEDURES MANUAL
449,River Aire at Airmyn,8003,6.1,mALD,"-0.908963,53.71643",,Peak Level - 05 December 2013,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2013,December,EMERGENCY RESPONSE PROCEDURES MANUAL
139,River Ure at Aldwark Bridge,8004,4.163,mALD,"-1.288144,54.053636",,30-Nov-09,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,,,EMERGENCY RESPONSE PROCEDURES MANUAL
140,River Ure at Aldwark Bridge,8004,4.181,mALD,"-1.288144,54.053636",,05-Jun-00,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,,,EMERGENCY RESPONSE PROCEDURES MANUAL
141,River Ure at Aldwark Bridge,8004,4.26,mALD,"-1.288144,54.053636",,09-Jan-05,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,,,EMERGENCY RESPONSE PROCEDURES MANUAL
142,River Ure at Aldwark Bridge,8004,4.5,mALD,"-1.288144,54.053636",,21-Oct-98,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,,,EMERGENCY RESPONSE PROCEDURES MANUAL
143,River Ure at Aldwark Bridge,8004,4.58,mALD,"-1.288144,54.053636",,Max recorded level January 1982,Highest recorded level <<ObsFloodMonth>> <<ObsFloodYear>>,Highest recorded level <<ObsFloodMonth>> <<ObsFloodYear>> at gauge <<ObsFloodMonth>> <<ObsFloodYear>>,High Level,1982,January,EMERGENCY RESPONSE PROCEDURES MANUAL
144,River Ure at Aldwark Bridge,8004,4.581,mALD,"-1.288144,54.053636",,27-Sep-12,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,,,EMERGENCY RESPONSE PROCEDURES MANUAL
145,River Ure at Aldwark Bridge,8004,5.17,mALD,"-1.288144,54.053636",,14-Sep-99,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,,,EMERGENCY RESPONSE PROCEDURES MANUAL
