Impact ID,Gauge,RLOI_ID,Value,Units,ThresholdComment,Short Name,Description,Type,ObsFloodYear,ObsFloodMonth,Source,Longitude,Latitude
1,River Aire at Beal Weir Bridge,8017,3.75,mALD,"Kellington Ings will start to fill
Birkin Holme Washland will start to fill",Defence at Kellington Ings,Defence at Kellington Ings will start to fill,Defence,,,Flood Resiliance,-1.19268,53.720666
2,River Aire at Beal Weir Bridge,8017,3.75,mALD,"Kellington Ings will start to fill
Birkin Holme Washland will start to fill",Defence at Birkin Holme,Defence at Birkin Holme Washland will start to fill,Defence,,,Flood Resiliance,-1.19268,53.720666
3,River Aire at Castleford,8042,3.1,mALD,Barnsdale Rd. likely to flood,Flooding at Barnsdale Road,Flooding at Barnsdale Road,Road Impact,,,Flood Resiliance,-1.355526,53.734916
4,River Swale at Catterick Bridge,8043,2.95,mALD,A6136 at Catterick Br. expected to flood,Flooding on A6136,Flooding on A6136 at Catterick Bridge,Road Impact,,,Flood Resiliance,-1.651031,54.388658
5,Aire Washlands at Allerton Ings,8320,1.27,mALD,Castleford Car Centre flooded,Flooding at Castleford,Flooding at Castleford car centre,Property Impact,2011,February,Flood Resiliance,-1.350663,53.72712
6,Aire Washlands at Allerton Ings,8320,1.07,mALD,Barnsdale Road begins to flood.,Flooding at Barnsdale Road,Flooding on Barnsdale Road,Road Impact,,,Flood Resiliance,-1.355526,53.734916
7,Arkle Beck at Reeth,8168,1.09,mALD,"Woodyard Cottage and Farm is the expected first property to
flood. This is not protected by raised defences",Property flooding Reeth,Flooding to property at Reeth,Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.940251,54.389265
8,River Swale at Richmond Lownthwaite Bridge,8169,3.663,mALD,"08/12/11 - Out of Bank at Caravan park, 0.5m from caravans.",Property flooding Richmond,Flooding to property at Richmond,Property Impact,2011,December,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.774255,54.40193
9,River Swale at Richmond Lownthwaite Bridge,8169,3.663,mALD,"Out of bank at Swale view, properties protected by private defences",Property flooding Swale View,"Flooding to property at Swale View, Colburn",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.695196,54.387755
10,River Swale at Richmond Lownthwaite Bridge,8169,3.868,mALD,25/09/12 - 23 roads closed in the Richmond area,Flooding to roads Richmond,Flooding to roads in Richmond area,Road Impact,2012,September,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.732908,54.403595
11,River Swale at Richmond Lownthwaite Bridge,8169,3.5,mALD,River Swale Caravan Parks at Richmond and properties at Lownethwaite Bridge,Property flooding Lownethwaite Bridge,"Flooding to property at Lownethwaite Bridge, Richmond",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.776984,54.401313
12,River Swale at Richmond Lownthwaite Bridge,8169,3.6,mALD,Properties at Richmond are expected to flood at this level.,Property flooding Richmond,Flooding to property at Richmond,Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.732908,54.403595
13,River Swale at Catterick Bridge,8043,2.8,mALD,"The A6136 road at Catterick Bridge is expected to flood at
2.95m.Properties are
expected to flood at 3.4m.",Flooding on A6136,Flooding on A6136 at Catterick Bridge,Road Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.649976,54.388683
14,River Swale at Catterick Bridge,8043,3.4,mALD,Properties are expected to flood at 3.4m.,Property flooding Catterick Bridge,"Flooding to property at Catterick Bridge, Richmond",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.650383,54.389184
15,River Swale at Catterick Bridge,8043,3.4,mALD,"Issue if Catterick Bridge is forecast to reach 3.4m. It is expected
that proeprties at Great Langton begin to flood at this level.",Property flooding Great Langton,"Flooding to property at Great Langton, Northallerton",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.546606,54.363558
16,Brough Beck at Catterick Village,8284,1.166,mALD,"17 Jul 2009 - No properties flooded although water was in the back gardens of 4
properties along Oran Lane and Swale Pasture Lane. Flooding from Brough Beck,
measured level at 1.07m stage.",Property flooding Oran Lane,"Flooding to gardens on Oran Lane, Catterick",Property Impact,2009,July,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.623753,54.373069
17,Brough Beck at Catterick Village,8284,1.166,mALD,"17 Jul 2009 - No properties flooded although water was in the back gardens of 4
properties along Oran Lane and Swale Pasture Lane. Flooding from Brough Beck,
measured level at 1.07m stage.",Property flooding Swale Pasture Lane,"Flooding to gardens on Swale Pasture Lane, Catterick",Property Impact,2009,July,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.625995,54.37703
18,Brough Beck at Catterick Village,8284,1.3,mALD,Jun 2007 - 45 properties flooded from the River Swale and Brough Beck.,Property flooding Catterick  ,Flooding to properties at Catterick,Property Impact,2007,June,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.627588,54.377807
19,Brough Beck at Catterick Village,8284,1.3,mALD,"Aug 2012 Approx. 15 properties flooded in Essex Close, Bedford
Close, Warwick Close and Rutland Close. The entire ground floor of two buildings
flooded in Catterick Garrison barracks. Properties flooded from surface water first.",Property flooding Essex Close,"Flooding to Essex Close, Catterick Garrison",Property Impact,2012,August,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.733607,54.374938
20,Brough Beck at Catterick Village,8284,1.3,mALD,"Aug 2012 Approx. 15 properties flooded in Essex Close, Bedford
Close, Warwick Close and Rutland Close. The entire ground floor of two buildings
flooded in Catterick Garrison barracks. Properties flooded from surface water first.",Property flooding Bedford Close,"Flooding toproperty on Bedford Close, Catterick Garrison",Property Impact,2012,August,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.740546,54.376326
