Longitude,Latitude
-1.19268,53.720666
-1.19268,53.720666
-1.355526,53.734916
-1.651031,54.388658
-1.350663,53.72712
-1.355526,53.734916
-1.940251,54.389265
-1.774255,54.40193
-1.695196,54.387755
-1.732908,54.403595
-1.776984,54.401313
-1.732908,54.403595
-1.649976,54.388683
-1.650383,54.389184
-1.546606,54.363558
-1.623753,54.373069
-1.625995,54.37703
-1.627588,54.377807
-1.733607,54.374938
-1.740546,54.376326
-1.740441,54.375457
-1.740827,54.376219
-1.655616,54.387735
-1.732908,54.403595
-1.386483,54.178475
-1.650383,54.389184
-1.633094,54.375551
-1.629678,54.376197
-1.666919,54.390689
-1.415934,54.363291
-1.424292,54.362633
-1.425856,54.362318
,
,
,
,
,
-1.434075,54.341128
-1.430801,54.342336
-1.417797,54.338355
-1.441044,54.338602
-1.419212,54.345037
1.434047,54.339121
-1.452725,54.33413
,
-1.422791,54.25738
-1.422791,54.25738
-1.424739,54.25807
,
-1.422791,54.25738
,
,
-1.422791,54.25738
,
,
-1.420432,54.257473
-1.420432,54.257473
-1.422791,54.25738
,
-1.348741,54.258773
-1.343762,54.235387
-1.341069,54.233964
-1.339679,54.232916
-1.341592,54.233667
-1.340032,54.23378
-1.341165,54.234247
-1.339679,54.232916
,
,
,
,
,
-1.388503,54.177515
,
,
,
,
,
-1.330146,54.09235
,
,
,
-1.474509,54.097383
-1.655695,54.223766
,
,
-1.655695,54.223766
-1.655695,54.223766
,
,
-1.655695,54.223766
,
,
,
,
,
,
-1.515121,54.141394
,
,
,
-1.501882,54.130423
-1.501882,54.130423
-1.515816,54.142412
-1.518393,54.144065
-1.518393,54.144065
-1.518571,54.146413
,
,
,
-1.523983,54.135539
-1.531044,54.132777
-1.512711,54.133455
-1.527178,54.132708
-1.519889,54.133251
-1.501843,54.130386
-1.514561,54.132951
-1.515121,54.141394
,
,
,
-1.527031,54.10213
-1.504524,54.093537
-1.504524,54.093537
,
-1.385329,54.102389
-1.394064,54.096624
-1.39529,54.097923
,
,
,
-1.385251,54.102611
-1.402999,54.099079
-1.39608,54.097261
-1.412649,54.089802
-1.323924,54.079326
-1.323924,54.079326
-1.404064,54.098897
,
,
,
,
,
,
,
-1.289781,54.065189
,
,
-1.761079,54.085703
-1.761079,54.085703
,
-1.499548,54.023182
-1.499548,54.023182
-1.470673,54.008233
-1.460681,53.998382
-1.460681,53.998382
-1.470168,54.00712
-1.460681,53.998382
-1.347556,53.97219
-1.318267,53.979848
-1.347556,53.97219
-1.398191,54.095314
-1.347556,53.97219
-1.081435,53.952992
-1.079034,53.947488
-1.133688,53.991392
,
,
,
,
,
-1.086007,53.95777
-1.070688,53.931531
,
-1.086007,53.95777
-1.086007,53.95777
,
-1.08401,53.955948
-1.08121,53.952268
,
-1.086007,53.95777
-1.086007,53.95777
-1.082271,53.942186
-1.103156,53.902077
-1.102104,53.966751
-1.081198,53.952313
-1.081435,53.951894
-1.090702,53.961399
,-1.085676
-1.086007,53.95777
,
,
-1.086007,53.95777
-1.080817,53.958395
-1.070385,53.978348
-1.036704,54.040347
-1.07193,53.966139
-1.070385,53.978348
,
,
,
,
,
-1.080817,53.958395
-1.09197,53.902759
,
-1.09197,53.902759
-1.103567,53.90169
-1.088826,53.902906
,
,
-1.12975,53.832083
-1.12975,53.832083
-1.09197,53.902759
-1.103567,53.90169
-1.096337,53.920608
,
,
,
,
-1.874491,53.943837
-1.873316,53.942858
,
-1.868961,53.942563
-1.873316,53.942858
-1.873316,53.942858
,
-1.873316,53.942858
,
-1.873316,53.942858
-1.873316,53.942858
-1.695019,53.91027
,
,
-1.707396,53.902555
,
,
,
,
,
-1.526065,53.909458
,
,
,
,
,
,
,
,
,
,
-1.35609,53.879612
-1.353168,53.882003
-1.259511,53.883982
-1.259511,53.883982
-1.259511,53.883982
,
,
,
-0.633739,54.468946
,
-0.824384,54.458029
,
,
,
,
,
,
,
,
,
,
,
-0.777958,54.244085
-0.777958,54.244085
-0.780095,54.246719
,
,
-0.980629,54.17374
,
-0.777958,54.244085
-0.858655,54.262269
,
-0.85947,54.26241
v,
,
,
,
-0.879627,54.014416
,
,
,
,
,
,
,
,
-0.612266,54.489617
-0.612266,54.489617
-0.612266,54.489617
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
-1.986723,53.908612
-1.987753,53.900216
-1.949266,53.898607
-1.960044,53.901341
-1.959518,53.901404
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
